plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751662	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736414	27.188764803093893	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.5805949017107	97.55733087072826	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.420595960262222	10.965617842719366	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	5.0	0.02746607824987695	0.09180762818334481	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	283.0	2.736271405414853	14.072938785184428	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	266.0	4.2533199318629915	28.295600752067028	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	13.0	0.3061360886428783	2.3466099999700196	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	5.0	0.14439548136078253	1.1753729054753732	0.0	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	2.0	0.009621477948185908	0.02650423127017277	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	215.0	2.231581384836715	11.960114727130025	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	572.0	9.498052765152819	64.15205056071731	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	139.0	3.0315295112099494	22.66163446918963	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	14.0	0.41694750906218386	3.4229338902946123	0.0	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	2.0	0.010811584031283957	0.03411152958420908	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	166.0	1.7711806465180704	9.632331444635756	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	517.0	8.63436606399953	58.456948824685774	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	234.0	5.072629193477736	37.81957928076322	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	22.0	0.6726514108049246	5.5618795775487255	0.0	0.0
evenaged	10000.0	2039	false	alive	CH20	20	20-30	CH	2.0	0.012071176084543698	0.04266049196228987	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	129.0	1.42782784488588	7.921114565707136	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	451.0	7.567497088652116	51.326368528491685	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	329.0	7.249057288096218	54.33439521855625	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	28.0	0.882201874830749	7.353367934419712	0.0	0.0
evenaged	10000.0	2040	false	alive	CH20	20	20-30	CH	1.0	0.006233135302418849	0.022664718651861437	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	92.0	1.047463242691736	5.900409244855396	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	408.0	6.900371342980461	46.959414046079054	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	404.0	9.148420588192154	69.20069132814201	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	33.0	1.07037862375077	8.990374432834042	0.0	0.0
evenaged	10000.0	2041	false	alive	CH20	20	20-30	CH	1.0	0.006908625022331036	0.027557499856665578	0.0	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	61.0	0.721783855297446	4.150110299027479	0.0	0.0
evenaged	10000.0	2041	false	alive	CH40	40	40-50	CH	343.0	5.791354706634764	39.38901188276514	0.0	0.0
evenaged	10000.0	2041	false	alive	CH50	50	50-60	CH	495.0	11.482265205375953	87.5585676665847	0.0	0.0
evenaged	10000.0	2042	false	alive	CH60	60	60-70	CH	45.0	1.4728067984224946	12.401779948577799	0.0	0.0
evenaged	10000.0	2042	false	alive	CH30	30	30-40	CH	31.0	0.3766891142858027	2.199115893798617	0.0	0.0
evenaged	10000.0	2042	false	alive	CH40	40	40-50	CH	287.0	4.80213036058726	32.54568130249184	0.0	0.0
evenaged	10000.0	2042	false	alive	CH50	50	50-60	CH	570.0	13.541481095879957	104.07639490561573	0.0	0.0
evenaged	10000.0	2043	false	alive	CH60	60	60-70	CH	59.0	1.9458822044631368	16.421310360334935	0.0	0.0
evenaged	10000.0	2043	false	alive	CH30	30	30-40	CH	2.0	0.01780441270683769	0.08624426363524025	0.0	0.0
