plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	29.0	0.14720282770717152	0.445763066757636	0.8578285390111289	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	902.0	8.849008231625042	45.93062010831746	16.10674866521087	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	932.0	15.117203947637705	101.1420815555486	10.160316389109743	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	37.0	0.8911950200413656	6.8796294083053136	0.35484220399636207	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	25.0	0.12425268969784015	0.36863010424887327	0.749759136943784	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	524.0	5.022978671418506	25.69400700213476	9.55314881915912	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	334.0	5.335517459718475	35.47210067750144	3.69239560662383	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	9.0	0.22694968766367443	1.7763777363805566	0.08796900613926656	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	3.0	0.08702439297725492	0.7092544299628551	0.0337566242384745	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	4.0	0.025648813078038762	0.09598742062356724	0.10010092775046636	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	300.0	3.13180891367019	16.84280164514714	5.025267129743707	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	570.0	9.32287463026685	62.59262170240964	6.171170697236363	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	131.0	2.7763325143964255	20.541818509595668	1.2190662578838407	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	7.0	0.21001951009048866	1.7276449366801208	0.08285736674936241	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	2.0	0.01338045326189345	0.05195013326414732	0.04847103693404223	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	229.0	2.447580101765384	13.325358586088058	3.7315208726668536	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	541.0	8.8416767954937	59.33890468855858	5.856893335073328	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	229.0	4.917658562556695	36.53789200082564	2.1136490281342417	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	9.0	0.2800468074137389	2.3264054622930717	0.11310134803436925	0.0
evenaged	10000.0	2039	false	alive	CH20	20	20-30	CH	1.0	0.007085435062114606	0.028872790582847706	0.023188403093851354	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	175.0	1.9330058442097964	10.711769957181266	2.7498665020341164	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	505.0	8.311644698597373	55.9365444689625	5.426216633454204	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	318.0	7.02300720983984	52.680372766763846	2.9387657878348463	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	16.0	0.4979244233841137	4.1373841287029665	0.202386795747484	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	132.0	1.521401774941642	8.62861799400616	1.9843775890278808	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	457.0	7.580264822164609	51.17359621454957	4.874190462842045	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	403.0	9.117522038228955	68.94871758566828	3.7442333317905185	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	20.0	0.6419379049011988	5.377504538209626	0.267044360757117	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	76.0	0.9025488122985897	5.1999141849563335	1.1063759263488353	0.0
evenaged	10000.0	2041	false	alive	CH40	40	40-50	CH	431.0	7.162099801174082	48.3966135838156	4.60038949372971	0.0
