plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	29.0	0.14720282770717152	0.44576306675763616	0.8578285390111288	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	902.0	8.849008231625042	45.93062010831749	16.10674866521085	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	932.0	15.117203947637673	101.1420815555486	10.160316389109745	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	37.0	0.8911950200413653	6.879629408305313	0.35484220399636207	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	23.0	0.11508523149315993	0.3438324443010983	0.6868768001381901	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	516.0	5.004134139449968	25.787432214365037	9.310691628087866	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	339.0	5.468285942819241	36.50380688143865	3.7161479605127603	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	14.0	0.34658611887857016	2.6980865051054597	0.13589471444296003	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	2.0	0.05767713167195442	0.46930377287764	0.022318244992057198	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	5.0	0.02826410174463998	0.09424294839111574	0.1370214551996212	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	317.0	3.2679548104833636	17.445470647579015	5.374513519161262	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	560.0	9.136294458848319	61.26815829498862	6.067493821491023	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	124.0	2.620548486235449	19.369093996572516	1.1528974782888608	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	6.0	0.1791217729526994	1.4714720835302786	0.07046720585452113	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	4.0	0.02389838412896383	0.08378662852771865	0.10529624800253438	0.0
