plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	29.0	0.14720282770717152	0.4457630667576361	0.8578285390111288	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	902.0	8.849008231625035	45.93062010831747	16.106748665210876	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	932.0	15.117203947637714	101.14208155554857	10.160316389109722	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	37.0	0.8911950200413653	6.879629408305312	0.35484220399636207	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	20.0	0.09634259672057256	0.27382685323565314	0.6090795276458829	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	534.0	5.173220194775066	26.648869306564844	9.652093975337106	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	325.0	5.230395861700159	34.87996195695886	3.567633315673375	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	13.0	0.30992979187692954	2.3849670132018232	0.12429506667132525	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	4.0	0.11598114923676997	0.9451359647220904	0.044978626813558485	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	5.0	0.026117680945269943	0.07961285860988174	0.14367111140664665	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	309.0	3.198813599327992	17.116651258649355	5.216080960245405	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	565.0	9.25850922484597	62.20162117362361	6.099409400626374	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	125.0	2.640027048835079	19.508780348368056	1.1621815554171355	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	7.0	0.2107276930924687	1.7350385141486806	0.08326978769223138	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	5.0	0.029338218429811675	0.10111133005213249	0.13329478419588478	0.0
