plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751662	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736417	27.188764803093918	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710707	97.55733087072838	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.4205959602622222	10.965617842719372	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	3.0	0.01409005508969732	0.040557883770064446	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	273.0	2.6181994373264486	13.395842729863475	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	281.0	4.513736764831844	30.084452131046003	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	10.0	0.22488851600012214	1.6972901545694676	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	6.0	0.17400448848478414	1.4180561783394392	0.0	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	3.0	0.01669671003545557	0.054671416827060476	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	222.0	2.3113921456966775	12.4103381543113	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	559.0	9.235818586238976	62.25169898260772	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	143.0	3.1276308156771844	23.40406115296511	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	16.0	0.4777622080882239	3.925018371295028	0.0	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	2.0	0.011322025748315246	0.0374246664216344	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	170.0	1.8148867563686615	9.875689060682511	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	518.0	8.609338062580301	58.173813212509245	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	227.0	4.941071481859297	36.89148298126157	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	25.0	0.7662368487898181	6.339852539488493	0.0	0.0
evenaged	10000.0	2039	false	alive	CH20	20	20-30	CH	2.0	0.012611012744716947	0.046371828112392474	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	127.0	1.3966750861490267	7.7211442203082	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	465.0	7.764603428260782	52.563381785980184	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	314.0	6.9355073974136126	52.02760526734735	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	32.0	1.0085693762998222	8.407610341529939	0.0	0.0
evenaged	10000.0	2040	false	alive	CH20	20	20-30	CH	1.0	0.0068023663089214655	0.02677364668814614	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	95.0	1.0804764260762856	6.083891112734191	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	420.0	7.106422399744181	48.36924815431824	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	385.0	8.727031983378692	66.0354148184382	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	36.0	1.1734256122169233	9.868255103740228	0.0	0.0
