plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751662	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736417	27.18876480309391	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710695	97.55733087072848	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.420595960262222	10.965617842719373	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	5.0	0.026829691063660406	0.08661508950959171	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	271.0	2.6152996197978564	13.43292641279249	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	274.0	4.394497535240058	29.26780475692029	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	17.0	0.4102086555805935	3.1683883572091727	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	5.0	0.14439548136078253	1.1753729054753732	0.0	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	2.0	0.010285895604421842	0.032073392923737856	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	221.0	2.2822460058035983	12.193771408082368	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	564.0	9.308989148859991	62.722637479784204	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	141.0	3.041379214477236	22.646599222897045	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	12.0	0.35618299790606833	2.921423607199189	0.0	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	1.0	0.004215565000128297	0.009657242036804655	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	178.0	1.8997285381514317	10.334705547030923	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	512.0	8.531841117587232	57.707815743381374	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	230.0	4.981839025904955	37.13072299020767	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	20.0	0.6100881639313255	5.041380666151444	0.0	0.0
evenaged	10000.0	2039	false	alive	CH20	20	20-30	CH	1.0	0.00477416237827654	0.012966249950344847	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	139.0	1.5381099477277111	8.532600022650165	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	452.0	7.569878042152723	51.30003686666235	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	321.0	7.0698838669415895	52.98158505936141	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	25.0	0.7855987550062149	6.543640012374275	0.0	0.0
evenaged	10000.0	2040	false	alive	CH20	20	20-30	CH	1.0	0.005367502438324704	0.016746843243728143	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	97.0	1.1066672048138853	6.2391494246898755	0.0	0.0
