plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751665	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736416	27.188764803093918	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710693	97.55733087072839	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.4205959602622216	10.96561784271937	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	6.0	0.03208832733164063	0.10384800978363547	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	282.0	2.704578728518993	13.833780853149996	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	264.0	4.271076796103334	28.54939364543734	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	15.0	0.3635139780038016	2.8119857392194842	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	4.0	0.11543229216963291	0.9394237223705392	0.0	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	1.0	0.004415126510870097	0.010808573620199895	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	205.0	2.1206099035913053	11.342997043704637	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	587.0	9.66299385827173	65.03995012131574	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	136.0	2.962401200691833	22.133863637175157	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	12.0	0.35637019940576253	2.9233669209276756	0.0	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	1.0	0.004986386362707767	0.014289537571633142	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	159.0	1.6905635090949647	9.174760059856865	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	527.0	8.733208635009488	58.933242460076194	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	234.0	5.070214101638296	37.79505560158217	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	19.0	0.5802912584913306	4.796743262877996	0.0	0.0
evenaged	10000.0	2039	false	alive	CH20	20	20-30	CH	1.0	0.005592388883606897	0.018241825236185477	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	122.0	1.3407039590920262	7.405988823735836	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	469.0	7.840908229249966	53.09495979678373	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	322.0	7.109752874796285	53.32876380838834	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	26.0	0.8142367475805312	6.7761321155854075	0.0	0.0
evenaged	10000.0	2040	false	alive	CH20	20	20-30	CH	1.0	0.006233135302418849	0.022664718651861437	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	93.0	1.0681162366232348	6.043244170420856	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	424.0	7.21724478836213	49.233849600190574	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	389.0	8.825739220936178	66.80243144581806	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	31.0	0.9993030993814807	8.380034129284457	0.0	0.0
evenaged	10000.0	2041	false	alive	CH20	20	20-30	CH	1.0	0.006908625022331036	0.027557499856665578	0.0	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	59.0	0.7044831777286378	4.068607053969698	0.0	0.0
evenaged	10000.0	2041	false	alive	CH40	40	40-50	CH	364.0	6.208395506261443	42.39806821707238	0.0	0.0
evenaged	10000.0	2041	false	alive	CH50	50	50-60	CH	478.0	11.099216615821106	84.66665142222371	0.0	0.0
evenaged	10000.0	2042	false	alive	CH60	60	60-70	CH	42.0	1.3691011393551324	11.516410950528913	0.0	0.0
evenaged	10000.0	2042	false	alive	CH30	30	30-40	CH	24.0	0.2922103475542442	1.707163793753504	0.0	0.0
evenaged	10000.0	2042	false	alive	CH40	40	40-50	CH	299.0	5.020730514132588	34.08236063687337	0.0	0.0
evenaged	10000.0	2042	false	alive	CH50	50	50-60	CH	568.0	13.45541744683947	103.32588109254522	0.0	0.0
evenaged	10000.0	2043	false	alive	CH60	60	60-70	CH	61.0	1.9820873806767842	16.66347279052322	0.0	0.0
evenaged	10000.0	2043	false	alive	CH30	30	30-40	CH	1.0	0.008363834365456107	0.03874985378567673	0.0	0.0
evenaged	10000.0	2043	false	alive	CH40	40	40-50	CH	243.0	4.02713621331909	27.182595396434206	0.0	0.0
evenaged	10000.0	2043	false	alive	CH50	50	50-60	CH	628.0	15.271439872932831	118.2655286052639	0.0	0.0
evenaged	10000.0	2044	false	alive	CH60	60	60-70	CH	158.0	4.850840579730713	40.17018103793535	0.0	0.0
evenaged	10000.0	2044	false	alive	CH70	70	70-80	CH	7.0	0.2758060753960264	2.427094891934399	0.13986576857045027	0.0
evenaged	10000.0	2044	false	alive	CH30	30	30-40	CH	1.0	0.009143553988668991	0.04504799058589282	0.0	0.0
evenaged	10000.0	2044	false	alive	CH40	40	40-50	CH	194.0	3.288536365472585	22.388570665359243	0.0	0.0
evenaged	10000.0	2044	false	alive	CH50	50	50-60	CH	573.0	14.048684057151549	109.06494439496844	0.0	0.0
evenaged	10000.0	2044	true	cut	CH60	60	60-70	CH	52.0	1.604394945339825	13.302983530965214	0.0	0.0
evenaged	10000.0	2044	true	cut	CH70	70	70-80	CH	2.0	0.07850112818395928	0.690213302836604	0.039628691626830595	0.0
evenaged	10000.0	2044	true	cut	CH30	30	30-40	CH	1.0	0.009143553988668991	0.04504799058589282	0.0	0.0
evenaged	10000.0	2044	true	cut	CH40	40	40-50	CH	104.0	1.7529946644817922	11.908566913913356	0.0	0.0
evenaged	10000.0	2044	true	cut	CH50	50	50-60	CH	192.0	4.633689254523365	35.79779152236462	0.0	0.0
evenaged	10000.0	2045	false	alive	CH60	60	60-70	CH	183.0	5.610275949203867	46.43229440129431	0.0	0.0
evenaged	10000.0	2045	false	alive	CH70	70	70-80	CH	10.0	0.40430243437289093	3.578479566834386	0.21149594248075348	0.0
evenaged	10000.0	2045	false	alive	CH40	40	40-50	CH	71.0	1.2472164355891053	8.608533097761422	0.0	0.0
evenaged	10000.0	2045	false	alive	CH50	50	50-60	CH	318.0	7.901919926175948	61.58963860160996	0.0	0.0
evenaged	10000.0	2046	false	alive	CH60	60	60-70	CH	233.0	7.297545269933078	60.73635846664084	0.0	0.0
evenaged	10000.0	2046	false	alive	CH70	70	70-80	CH	15.0	0.6204406191743789	5.519273474758015	0.3339019503879549	0.0
