plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751663	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736415	27.18876480309388	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.5805949017107	97.55733087072834	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.420595960262222	10.96561784271937	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	5.0	0.026829691063660403	0.08661508950959171	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	264.0	2.544928520086701	13.06124981862474	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	248.0	3.9834397440327667	26.545863396381094	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	14.0	0.3416227901503835	2.648406110675919	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	5.0	0.1449192542900017	1.1808280635315977	0.0	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	2.0	0.010450499426253281	0.03312313284133502	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	222.0	2.3050369797959904	12.352473424418708	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	576.0	9.511197005635212	64.09111504958202	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	164.0	3.5431323306366362	26.395393488810644	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	16.0	0.47590074479668987	3.905651841353058	0.0	0.0
evenaged	10000.0	2038	false	alive	CH20	20	20-30	CH	1.0	0.0043668526867596995	0.01052677828147768	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	169.0	1.8142447948338136	9.898059983503131	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	510.0	8.478170191788855	57.28262893973146	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	273.0	5.917215092987262	44.10793163845046	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	21.0	0.6496948464804424	5.389039825518695	0.0	0.0
evenaged	10000.0	2039	false	alive	CH20	20	20-30	CH	1.0	0.005016533228816943	0.014480221706738572	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	129.0	1.4522267141972096	8.131026989981331	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	452.0	7.623189737187518	51.80831106996294	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	366.0	8.17857149028907	61.592939980699356	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	30.0	0.9508408885277622	7.938393739094226	0.0	0.0
evenaged	10000.0	2040	false	alive	CH20	20	20-30	CH	1.0	0.00571124931364983	0.01904457326975841	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	82.0	0.9596058117457903	5.484263965880167	0.0	0.0
