plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751663	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736416	27.188764803093886	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710702	97.55733087072838	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.4205959602622213	10.96561784271937	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	7.0	0.03596693729177329	0.11164766112751662	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	256.0	2.4540381258543813	12.549527648482304	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	250.0	4.00111649818026	26.62603967962375	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	18.0	0.4312194355764182	3.3232388982284378	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	6.0	0.17470804378671934	1.425392075857904	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	227.0	2.3678515592169367	12.726042091151125	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	582.0	9.627169042021025	64.92257882522098	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	154.0	3.3187884696325485	24.70148634770081	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	15.0	0.44959812746627237	3.697542000352409	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	170.0	1.8358237780970854	10.051971524069975	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	512.0	8.494968937749329	57.35281207172977	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	272.0	5.882589187356876	43.81594185739808	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	21.0	0.6506670661439752	5.399431133342949	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	120.0	1.3402309302999273	7.469931299700465	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	467.0	7.839441468431953	53.18390137928948	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	361.0	8.050743532812515	60.586921077717825	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	27.0	0.8630630546550254	7.2215803451154255	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	82.0	0.9593424324308163	5.4815404647165975	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	399.0	6.74661649809331	45.90824825113284	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	461.0	10.57380408953204	80.32885584745246	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	36.0	1.1727424264375166	9.862849156252386	0.0	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	41.0	0.5001702993284635	2.920990573781547	0.0	0.0
evenaged	10000.0	2041	false	alive	CH40	40	40-50	CH	341.0	5.755875942991152	39.14919832873801	0.0	0.0
evenaged	10000.0	2041	false	alive	CH50	50	50-60	CH	551.0	13.019420404305801	99.88432270886304	0.0	0.0
evenaged	10000.0	2042	false	alive	CH60	60	60-70	CH	47.0	1.5569179233835295	13.152503403200466	0.0	0.0
evenaged	10000.0	2042	false	alive	CH40	40	40-50	CH	276.0	4.538169064400465	30.53481603547839	0.0	0.0
evenaged	10000.0	2042	false	alive	CH50	50	50-60	CH	646.0	15.702145146564757	121.58324628801017	0.0	0.0
evenaged	10000.0	2043	false	alive	CH60	60	60-70	CH	159.0	4.862667300314142	40.225347878060894	0.0	0.0
evenaged	10000.0	2043	false	alive	CH70	70	70-80	CH	7.0	0.27689135991705693	2.438810380073392	0.14108371581056567	0.0
evenaged	10000.0	2043	false	alive	CH40	40	40-50	CH	226.0	3.849028085220953	26.2563297493206	0.0	0.0
evenaged	10000.0	2043	false	alive	CH50	50	50-60	CH	577.0	14.20130861152351	110.37832503710963	0.0	0.0
evenaged	10000.0	2044	false	alive	CH60	60	60-70	CH	274.0	8.436948225220075	69.90563944023224	0.0	0.0
evenaged	10000.0	2044	false	alive	CH70	70	70-80	CH	15.0	0.6096232858326267	5.4020263344831285	0.32095505624359566	0.0
evenaged	10000.0	2044	false	alive	CH40	40	40-50	CH	165.0	2.878493076567717	19.81414508210633	0.0	0.0
evenaged	10000.0	2044	false	alive	CH50	50	50-60	CH	515.0	12.701133966896457	98.77926512342489	0.0	0.0
evenaged	10000.0	2044	true	cut	CH60	60	60-70	CH	91.0	2.7971885851245837	23.16503495560116	0.0	0.0
evenaged	10000.0	2044	true	cut	CH70	70	70-80	CH	4.0	0.16593093732520187	1.4769501215990433	0.08951250498282748	0.0
evenaged	10000.0	2044	true	cut	CH40	40	40-50	CH	106.0	1.8406572401873844	12.646715599601627	0.0	0.0
evenaged	10000.0	2044	true	cut	CH50	50	50-60	CH	190.0	4.603188470958522	35.603543109026745	0.0	0.0
evenaged	10000.0	2045	false	alive	CH60	60	60-70	CH	248.0	7.817951488878271	65.17967728517313	0.0	0.0
evenaged	10000.0	2045	false	alive	CH70	70	70-80	CH	16.0	0.6643122765084725	5.914411425344704	0.3591524474632515	0.0
evenaged	10000.0	2045	false	alive	CH40	40	40-50	CH	39.0	0.7018840850639342	4.888799281934626	0.0	0.0
evenaged	10000.0	2045	false	alive	CH50	50	50-60	CH	275.0	6.9343632719627735	54.29486499677205	0.0	0.0
