plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751663	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736413	27.188764803093903	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710686	97.55733087072834	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.4205959602622216	10.96561784271937	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	6.0	0.02895809230934115	0.08334628289856873	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	259.0	2.453857749588383	12.46454107900334	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	257.0	4.162195417728002	27.833383634498784	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	9.0	0.2214486080380606	1.7209279339828443	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	7.0	0.20345808078358876	1.6591209551703934	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	224.0	2.3612715206861514	12.7610966227763	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	578.0	9.512013422889613	64.01006732263097	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	160.0	3.469937217337125	25.883883966742104	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	18.0	0.5379283593054794	4.420445966346573	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	167.0	1.825738046179406	10.061778768573099	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	514.0	8.500541061489859	57.31074060556258	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	270.0	5.859217700521924	43.694332521279726	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	23.0	0.7149029329666731	5.937362156356595	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	119.0	1.3597782444303972	7.6753465410541235	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	471.0	7.899015436753182	53.5648568980746	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	356.0	7.970113494116615	60.0619568941121	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	32.0	1.0184621662431346	8.512466599666338	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	67.0	0.7888321532025319	4.522179899141894	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	419.0	7.045449180166471	47.83835337108734	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	451.0	10.355091676286158	78.6968161399156	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	44.0	1.4243563747221428	11.959740038608947	0.0	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	29.0	0.3566647975123752	2.0917950965262144	0.0	0.0
